symbol	date	close
DCL	08-Sep-21	10.35
DCL	08-Oct-21	10.34
DCL	08-Nov-21	10.31
DCL	08-Dec-21	10.19
DCL	09-Jan-21	11.28
DCL	09-Feb-21	11.07
DCL	09-Mar-21	10.98
DCL	09-Jun-21	10.9
DCL	09-Jul-21	10.85
DCL	09-Aug-21	10.76
DCL	09-Sep-21	10.83
DCL	09-Oct-21	11.08
DCL	10-Jan-21	9.23
DCL	10-Apr-21	9.4
DCL	10-May-21	9.04
DGKC	01-Feb-17	222.62
DGKC	01-Mar-17	232.64
DGKC	01-Apr-17	230.4
DGKC	01-May-17	227.98
DGKC	01-Jun-17	226.54
DGKC	01-Sep-17	224.59
DGKC	01-Oct-17	225.75
DGKC	01-Nov-17	228.48
DGKC	01-Dec-17	228.29
DGKC	02-Jan-17	233.29
DGKC	02-Feb-17	230.6
DGKC	02-Mar-17	230.63
DGKC	02-Jun-17	231.59
DGKC	02-Jul-17	232.22
DGKC	02-Aug-17	233.69
DGKC	02-Sep-17	245.37
DGKC	02-Oct-17	244.94
DGKC	03-Jan-17	238.98
DGKC	03-Feb-17	242.75
DGKC	03-Mar-17	239.32
DGKC	03-Jun-17	236.63
DGKC	03-Jul-17	235.81
DGKC	03-Aug-17	236.79
DGKC	03-Sep-17	234.89
DGKC	03-Oct-17	234.52
DGKC	04-Mar-17	230.87
DGKC	04-Apr-17	232.66
DGKC	04-May-17	230.59
DGKC	04-Jun-17	226.94
DGKC	04-Jul-17	230.25
DGKC	04-Oct-17	231.63
DGKC	04-Nov-17	233.12
DGKC	04-Dec-17	231.95
DGKC	05-Feb-17	234.14
DGKC	05-Mar-17	232.42
DGKC	05-Apr-17	237.81
DGKC	05-May-17	238.68
DGKC	05-Aug-17	240.45
DGKC	05-Sep-17	239.13
DGKC	05-Oct-17	235.82
DGKC	05-Nov-17	236.44
DGKC	05-Dec-17	239.26
DGKC	06-Jan-17	227.28
DGKC	06-Feb-17	222.92
DGKC	06-May-17	233.94
DGKC	06-Jun-17	237.61
DGKC	06-Jul-17	236.32
DGKC	06-Aug-17	231.37
DGKC	06-Sep-17	229.44
DGKC	06-Dec-17	220.14
DGKC	07-Mar-17	202.6
DGKC	07-Apr-17	210.09
DGKC	07-May-17	208.12
DGKC	07-Jun-17	204.66
DGKC	07-Jul-17	207.37
DGKC	07-Oct-17	215.23
DGKC	07-Nov-17	204.47
DGKC	07-Dec-17	194.27
DGKC	08-Jan-17	197.7
DGKC	08-Feb-17	200.9
DGKC	08-Mar-17	201.02
DGKC	08-Apr-17	198.87
DGKC	08-Jul-17	196.87
DGKC	08-Aug-17	191.62
DGKC	08-Sep-17	192.45
DGKC	08-Oct-17	191.9
DGKC	08-Nov-17	190.85
DGKC	09-May-17	159.16
DGKC	09-Jun-17	151.83
DGKC	09-Jul-17	152.24
DGKC	09-Aug-17	155.83
DGKC	09-Nov-17	152.86
DGKC	09-Dec-17	150.43
DGKC	10-Feb-17	147.07
DGKC	10-Mar-17	139.73
DGKC	10-Apr-17	135.52
DGKC	10-May-17	139.96
DGKC	10-Jun-17	146.65
DGKC	10-Sep-17	144.3
DGKC	10-Oct-17	140.9
DGKC	10-Nov-17	141.34
DGKC	10-Dec-17	137.88
DGKC	11-Jan-17	138.44
DGKC	11-Feb-17	138.77
DGKC	11-Mar-17	142.08
DGKC	11-Jun-17	142.02
DGKC	11-Jul-17	140.66
DGKC	11-Aug-17	142.76
DGKC	11-Sep-17	145.92
DGKC	11-Oct-17	142.51
DGKC	12-Apr-17	136.87
DGKC	12-May-17	135.48
DGKC	12-Jun-17	135.09
DGKC	12-Jul-17	130.87
DGKC	12-Aug-17	131.77
DGKC	12-Nov-17	126.85
DGKC	12-Dec-17	124.05
DGKC	01-Jan-18	136.34
DGKC	01-Feb-18	141.72
DGKC	01-Mar-18	143.19
DGKC	01-Apr-18	141.87
DGKC	01-May-18	143.59
DGKC	01-Aug-18	142.85
DGKC	01-Sep-18	141.14
DGKC	01-Oct-18	144.78
DGKC	01-Nov-18	144.34
